,cell_color,cell_age,cell_center,cell_radius,cell_direction_pause,cell_direction_angle,cell_cycle,cell_direction_remember,cell_vision_radius,cell_vision_nconsidered,cell_mutational_rate,cell_mutation_information
109,#39A1C5,29,"(485.12952551033726, 425.03572307744224)",6.25,0.25030245012975016,0.5903166007203767,0.5840264208690304,0.8453182524349607,3.5475910004614373,2.712575161512502,1e-10,"[['cell_direction_pause', 0.3036426267625189, 1, (0, 1, False)], ['cell_direction_angle', 1, 6.283185307179586, None], ['cell_cycle', 0.4371996038480324, 1, (0.5000000001, 5, False)], ['cell_direction_remember', 1, 1, (0, 1, False)], ['cell_vision_radius', 0.5427751273173951, 1, (1.01, 5, False)], ['cell_vision_nconsidered', 0.5877162713964401, 1, (1, 5, False)], ['cell_mutational_rate', 0.7217929466719811, 1, (1e-10, 5, False)]]"
110,#39A1C5,27,"(155.7664781573709, 410.69981791964784)",6.25,0.25030245012975016,2.6824141154951975,0.5840264208690304,0.8453182524349607,3.5475910004614373,2.712575161512502,1e-10,"[['cell_direction_pause', 0.3036426267625189, 1, (0, 1, False)], ['cell_direction_angle', 1, 6.283185307179586, None], ['cell_cycle', 0.4371996038480324, 1, (0.5000000001, 5, False)], ['cell_direction_remember', 1, 1, (0, 1, False)], ['cell_vision_radius', 0.5427751273173951, 1, (1.01, 5, False)], ['cell_vision_nconsidered', 0.5877162713964401, 1, (1, 5, False)], ['cell_mutational_rate', 0.7217929466719811, 1, (1e-10, 5, False)]]"
111,#39A1C5,28,"(155.66719811264144, 316.0366635907316)",6.25,0.7400656528741133,0.39434082021460787,0.5000000001,1.0,3.038224078518233,2.492755398531743,1e-10,"[['cell_direction_pause', 0.48892206210821054, 1, (0, 1, False)], ['cell_direction_angle', 0.5600198756309095, 6.283185307179586, None], ['cell_cycle', 0.4013036115752899, 1, (0.5000000001, 5, False)], ['cell_direction_remember', 0.5546182173528944, 1, (0, 1, False)], ['cell_vision_radius', 0.443039144033768, 1, (1.01, 5, False)], ['cell_vision_nconsidered', 0.46207606868787965, 1, (1, 5, False)], ['cell_mutational_rate', 0.3767700022427574, 1, (1e-10, 5, False)]]"
112,#39A1C5,27,"(197.83572208362727, 172.91629526441517)",6.25,0.25030245012975016,-2.6689260907452534,0.5840264208690304,0.8453182524349607,3.5475910004614373,2.712575161512502,1e-10,"[['cell_direction_pause', 0.3036426267625189, 1, (0, 1, False)], ['cell_direction_angle', 1, 6.283185307179586, None], ['cell_cycle', 0.4371996038480324, 1, (0.5000000001, 5, False)], ['cell_direction_remember', 1, 1, (0, 1, False)], ['cell_vision_radius', 0.5427751273173951, 1, (1.01, 5, False)], ['cell_vision_nconsidered', 0.5877162713964401, 1, (1, 5, False)], ['cell_mutational_rate', 0.7217929466719811, 1, (1e-10, 5, False)]]"
113,#39A1C5,27,"(101.41484350804707, 66.21917219247723)",6.25,0.25030245012975016,-2.6229381259183375,0.5840264208690304,0.8453182524349607,3.5475910004614373,2.712575161512502,1e-10,"[['cell_direction_pause', 0.3036426267625189, 1, (0, 1, False)], ['cell_direction_angle', 1, 6.283185307179586, None], ['cell_cycle', 0.4371996038480324, 1, (0.5000000001, 5, False)], ['cell_direction_remember', 1, 1, (0, 1, False)], ['cell_vision_radius', 0.5427751273173951, 1, (1.01, 5, False)], ['cell_vision_nconsidered', 0.5877162713964401, 1, (1, 5, False)], ['cell_mutational_rate', 0.7217929466719811, 1, (1e-10, 5, False)]]"
114,#39A1C5,27,"(406.4190533677475, 395.58617601484684)",6.25,0.25030245012975016,0.6040787323750162,0.5840264208690304,0.8453182524349607,3.5475910004614373,2.712575161512502,1e-10,"[['cell_direction_pause', 0.3036426267625189, 1, (0, 1, False)], ['cell_direction_angle', 1, 6.283185307179586, None], ['cell_cycle', 0.4371996038480324, 1, (0.5000000001, 5, False)], ['cell_direction_remember', 1, 1, (0, 1, False)], ['cell_vision_radius', 0.5427751273173951, 1, (1.01, 5, False)], ['cell_vision_nconsidered', 0.5877162713964401, 1, (1, 5, False)], ['cell_mutational_rate', 0.7217929466719811, 1, (1e-10, 5, False)]]"
115,#39A1C5,27,"(321.6003289305469, 288.7819055678734)",6.25,0.25030245012975016,-3.0147466504985014,0.5840264208690304,0.8453182524349607,3.5475910004614373,2.712575161512502,1e-10,"[['cell_direction_pause', 0.3036426267625189, 1, (0, 1, False)], ['cell_direction_angle', 1, 6.283185307179586, None], ['cell_cycle', 0.4371996038480324, 1, (0.5000000001, 5, False)], ['cell_direction_remember', 1, 1, (0, 1, False)], ['cell_vision_radius', 0.5427751273173951, 1, (1.01, 5, False)], ['cell_vision_nconsidered', 0.5877162713964401, 1, (1, 5, False)], ['cell_mutational_rate', 0.7217929466719811, 1, (1e-10, 5, False)]]"
116,#39A1C5,24,"(203.0903289931044, 137.70172967960605)",6.25,0.25030245012975016,2.5183845770189155,0.5840264208690304,0.8453182524349607,3.5475910004614373,2.712575161512502,1e-10,"[['cell_direction_pause', 0.3036426267625189, 1, (0, 1, False)], ['cell_direction_angle', 1, 6.283185307179586, None], ['cell_cycle', 0.4371996038480324, 1, (0.5000000001, 5, False)], ['cell_direction_remember', 1, 1, (0, 1, False)], ['cell_vision_radius', 0.5427751273173951, 1, (1.01, 5, False)], ['cell_vision_nconsidered', 0.5877162713964401, 1, (1, 5, False)], ['cell_mutational_rate', 0.7217929466719811, 1, (1e-10, 5, False)]]"
117,#39A1C5,26,"(310.2879340220488, 221.09710813467572)",6.25,0.25030245012975016,0.7800921275617355,0.5840264208690304,0.8453182524349607,3.5475910004614373,2.712575161512502,1e-10,"[['cell_direction_pause', 0.3036426267625189, 1, (0, 1, False)], ['cell_direction_angle', 1, 6.283185307179586, None], ['cell_cycle', 0.4371996038480324, 1, (0.5000000001, 5, False)], ['cell_direction_remember', 1, 1, (0, 1, False)], ['cell_vision_radius', 0.5427751273173951, 1, (1.01, 5, False)], ['cell_vision_nconsidered', 0.5877162713964401, 1, (1, 5, False)], ['cell_mutational_rate', 0.7217929466719811, 1, (1e-10, 5, False)]]"
118,#39A1C5,26,"(425.64895546491374, 376.576122472955)",6.25,0.25030245012975016,0.7515548253793658,0.5840264208690304,0.8453182524349607,3.5475910004614373,2.712575161512502,1e-10,"[['cell_direction_pause', 0.3036426267625189, 1, (0, 1, False)], ['cell_direction_angle', 1, 6.283185307179586, None], ['cell_cycle', 0.4371996038480324, 1, (0.5000000001, 5, False)], ['cell_direction_remember', 1, 1, (0, 1, False)], ['cell_vision_radius', 0.5427751273173951, 1, (1.01, 5, False)], ['cell_vision_nconsidered', 0.5877162713964401, 1, (1, 5, False)], ['cell_mutational_rate', 0.7217929466719811, 1, (1e-10, 5, False)]]"
