round,clone,count
14,#6D8CBF,1
14,#8993AB,1
14,#FB5195,3
14,#74B6C8,3
14,#D8FB81,1
14,#DDAC99,1
14,#8E1743,1
14,#E94B7A,1
14,#930CDE,1
15,#F751CC,1
15,#30ECEA,1
15,#BCCEF4,1
15,#7D016C,1
15,#332364,1
15,#B44564,1
15,#41D085,1
15,#FF3453,1
15,#68B7F6,1
15,#A54B95,1
15,#A585D5,1
15,#6D8CBF,1
15,#8993AB,1
15,#FB5195,5
15,#74B6C8,3
15,#D8FB81,1
15,#DDAC99,1
15,#8E1743,1
15,#E94B7A,1
15,#930CDE,1
16,#F751CC,1
16,#30ECEA,1
16,#BCCEF4,1
16,#7D016C,1
16,#332364,1
16,#B44564,1
16,#41D085,1
16,#FF3453,1
16,#68B7F6,1
16,#A54B95,1
16,#A585D5,1
16,#6D8CBF,1
16,#8993AB,1
16,#FB5195,5
16,#74B6C8,3
16,#D8FB81,1
16,#DDAC99,1
16,#8E1743,1
16,#E94B7A,1
16,#930CDE,1
17,#F751CC,1
17,#30ECEA,1
17,#BCCEF4,1
17,#7D016C,1
17,#332364,1
17,#B44564,1
17,#41D085,1
17,#FF3453,1
17,#68B7F6,1
17,#A54B95,1
17,#A585D5,1
17,#6D8CBF,1
17,#8993AB,1
17,#FB5195,5
17,#74B6C8,3
17,#D8FB81,1
17,#DDAC99,1
17,#8E1743,1
17,#E94B7A,1
17,#930CDE,1
18,#F751CC,1
18,#30ECEA,1
18,#BCCEF4,1
18,#7D016C,1
18,#332364,1
18,#B44564,1
18,#41D085,1
18,#FF3453,1
18,#68B7F6,1
18,#A54B95,1
18,#A585D5,1
18,#6D8CBF,1
18,#8993AB,1
18,#FB5195,5
18,#74B6C8,3
18,#D8FB81,1
18,#DDAC99,1
18,#8E1743,1
18,#E94B7A,1
18,#930CDE,1
19,#F751CC,1
19,#30ECEA,1
19,#BCCEF4,1
19,#7D016C,1
19,#332364,1
19,#B44564,1
19,#41D085,1
19,#FF3453,1
19,#68B7F6,1
19,#A54B95,1
19,#A585D5,1
19,#6D8CBF,1
19,#8993AB,1
19,#FB5195,5
19,#74B6C8,3
19,#D8FB81,1
19,#DDAC99,1
19,#8E1743,1
19,#E94B7A,1
19,#930CDE,1
20,#F751CC,1
20,#30ECEA,1
