,cell_color,cell_radius,cell_center,cell_age,cell_health,cell_metabolic_cost,cell_direction_pause,cell_direction_angle,cell_cycle,cell_direction_remember,cell_vision_scale,cell_vision_nconsidered,cell_mutational_rate,cell_mutation_information
0,#AF4EA9,6.25,"(212.99274956657393, 367.78259181319083)",28.159987466844953,0.5467270479368724,0.02930723788334389,0.2821067683691342,3.938848050730784,1.4735074200868474,0.6012618573700965,1.7388164038055005,1.397936412788957,7.448396675407579e-06,"[['cell_mutational_rate', 0.5505324175057739, 1, (1e-10, 1, False)], ['cell_direction_pause', 0.9188241842172719, 1, (0, 1, False)], ['cell_direction_angle', 0.6844274950399447, 1, None], ['cell_cycle', 1, 1, (0.5000000001, 5, False)], ['cell_direction_remember', 1, 1, (0, 1, False)], ['cell_vision_scale', 1, 1, (1.01, 20, False)], ['cell_vision_nconsidered', 1, 1, (1, 100, False)]]"
1,#AF4EA9,6.25,"(352.3871282595942, 223.69318708284908)",29.087484194931942,0.013643751296596132,0.031320944917836886,0.4751575341533061,5.4805864018318395,0.8155500351726621,0.7811270899531573,2.446697311694942,2.045122483083797,2.634187328424165e-07,"[['cell_mutational_rate', 1, 1, (1e-10, 1, False)], ['cell_direction_pause', 1, 1, (0, 1, False)], ['cell_direction_angle', 1, 1, None], ['cell_cycle', 1, 1, (0.5000000001, 5, False)], ['cell_direction_remember', 1, 1, (0, 1, False)], ['cell_vision_scale', 1, 1, (1.01, 20, False)], ['cell_vision_nconsidered', 1, 1, (1, 100, False)]]"
2,#AF4EA9,6.25,"(265.23103707117656, 141.39502062401465)",29.09444916064852,0.26417218250805186,0.03133618389324273,0.4751575341533061,5.4805864018318395,0.8155500351726621,0.7811270899531573,2.446697311694942,2.045122483083797,9.594038368856948e-09,"[['cell_mutational_rate', 1, 1, (1e-10, 1, False)], ['cell_direction_pause', 1, 1, (0, 1, False)], ['cell_direction_angle', 1, 1, None], ['cell_cycle', 1, 1, (0.5000000001, 5, False)], ['cell_direction_remember', 1, 1, (0, 1, False)], ['cell_vision_scale', 1, 1, (1.01, 20, False)], ['cell_vision_nconsidered', 1, 1, (1, 100, False)]]"
3,#AF4EA9,6.25,"(131.75812589036224, 360.3981372573722)",28.01362162824138,0.24110593714348477,0.028992232368416193,0.2821067683691342,3.938848050730784,1.4735074200868474,0.6012618573700965,1.7388164038055005,1.397936412788957,2.81633020256289e-07,"[['cell_mutational_rate', 0.5505324175057739, 1, (1e-10, 1, False)], ['cell_direction_pause', 0.9188241842172719, 1, (0, 1, False)], ['cell_direction_angle', 0.6844274950399447, 1, None], ['cell_cycle', 1, 1, (0.5000000001, 5, False)], ['cell_direction_remember', 1, 1, (0, 1, False)], ['cell_vision_scale', 1, 1, (1.01, 20, False)], ['cell_vision_nconsidered', 1, 1, (1, 100, False)]]"
4,#AF4EA9,6.25,"(385.3755043562984, 228.22451287073255)",29.066911300213455,-0.19228772305207917,0.06460925946556907,0.4751575341533061,5.4805864018318395,0.8155500351726621,0.7811270899531573,2.446697311694942,2.045122483083797,6.593839521486435e-10,"[['cell_mutational_rate', 1, 1, (1e-10, 1, False)], ['cell_direction_pause', 1, 1, (0, 1, False)], ['cell_direction_angle', 1, 1, None], ['cell_cycle', 1, 1, (0.5000000001, 5, False)], ['cell_direction_remember', 1, 1, (0, 1, False)], ['cell_vision_scale', 1, 1, (1.01, 20, False)], ['cell_vision_nconsidered', 1, 1, (1, 100, False)]]"
5,#AF4EA9,6.25,"(421.6735489421412, 420.02237151252336)",31.0,-2.551342619437672,0.06890740782040862,0.17411291963245268,4.037041285921771,1.4933326101689517,0.3896712344486737,2.4663681077368036,2.1904893645127124,2.4780072862659465e-08,"[['cell_mutational_rate', 0.7461490949103414, 1, (1e-10, 1, False)], ['cell_direction_pause', 1, 1, (0, 1, False)], ['cell_direction_angle', 1, 1, None], ['cell_cycle', 1, 1, (0.5000000001, 5, False)], ['cell_direction_remember', 1, 1, (0, 1, False)], ['cell_vision_scale', 1, 1, (1.01, 20, False)], ['cell_vision_nconsidered', 1, 1, (1, 100, False)]]"
6,#2AD018,6.25,"(178.22917014766836, 293.079218057895)",28.004282932459965,0.743378160189535,0.02897216881447558,0.3037193281306435,5.058900790366856,1.3668095170617662,0.7375407252893685,2.200548340907597,1.1194899476555782,3.083031284662394e-07,"[['cell_mutational_rate', 0.37160544407617035, 1, (1e-10, 1, False)], ['cell_direction_pause', 0.3382653416299577, 1, (0, 1, False)], ['cell_direction_angle', 0.33976506773742815, 1, None], ['cell_cycle', 0.25324348255025997, 1, (0.5000000001, 5, False)], ['cell_direction_remember', 0.2592273023291925, 1, (0, 1, False)], ['cell_vision_scale', 0.24818148081275493, 1, (1.01, 20, False)], ['cell_vision_nconsidered', 0.4165535185139317, 1, (1, 100, False)]]"
7,#AF4EA9,6.25,"(259.0766330146425, 423.1471336363692)",30.0,-1.513798989815635,0.06666673849384903,0.2821067683691342,3.938848050730784,1.4735074200868474,0.6012618573700965,1.7388164038055005,1.397936412788957,4.30963094196543e-06,"[['cell_mutational_rate', 0.5505324175057739, 1, (1e-10, 1, False)], ['cell_direction_pause', 0.9188241842172719, 1, (0, 1, False)], ['cell_direction_angle', 0.6844274950399447, 1, None], ['cell_cycle', 1, 1, (0.5000000001, 5, False)], ['cell_direction_remember', 1, 1, (0, 1, False)], ['cell_vision_scale', 1, 1, (1.01, 20, False)], ['cell_vision_nconsidered', 1, 1, (1, 100, False)]]"
8,#AF4EA9,6.25,"(279.4312193562223, 203.41157118160123)",27.060500000029208,1.7316585547551007,0.02696112334779976,0.4751575341533061,5.4805864018318395,0.8155500351726621,0.7811270899531573,2.446697311694942,2.045122483083797,5.865036482919431e-10,"[['cell_mutational_rate', 1, 1, (1e-10, 1, False)], ['cell_direction_pause', 1, 1, (0, 1, False)], ['cell_direction_angle', 1, 1, None], ['cell_cycle', 1, 1, (0.5000000001, 5, False)], ['cell_direction_remember', 1, 1, (0, 1, False)], ['cell_vision_scale', 1, 1, (1.01, 20, False)], ['cell_vision_nconsidered', 1, 1, (1, 100, False)]]"
9,#2AD018,6.25,"(273.7904090258597, 358.79515038365184)",30.0,-1.7166222363991133,0.06666670398724152,0.3037193281306435,5.058900790366856,1.3668095170617662,0.7375407252893685,2.200548340907597,1.1194899476555782,2.239234491250796e-06,"[['cell_mutational_rate', 0.37160544407617035, 1, (1e-10, 1, False)], ['cell_direction_pause', 0.3382653416299577, 1, (0, 1, False)], ['cell_direction_angle', 0.33976506773742815, 1, None], ['cell_cycle', 0.25324348255025997, 1, (0.5000000001, 5, False)], ['cell_direction_remember', 0.2592273023291925, 1, (0, 1, False)], ['cell_vision_scale', 0.24818148081275493, 1, (1.01, 20, False)], ['cell_vision_nconsidered', 0.4165535185139317, 1, (1, 100, False)]]"
10,#AF4EA9,6.25,"(218.7266092027191, 141.631475136256)",29.02674074074433,0.04738407937369843,0.031188076345720725,0.0,3.67815452870173,0.5000000001,0.0,4.918366534465701,1.5218283669705899,2.1541385922426045e-10,"[['cell_mutational_rate', 1, 1, (1e-10, 1, False)], ['cell_direction_pause', 1, 1, (0, 1, False)], ['cell_direction_angle', 1, 1, None], ['cell_cycle', 1, 1, (0.5000000001, 5, False)], ['cell_direction_remember', 1, 1, (0, 1, False)], ['cell_vision_scale', 1, 1, (1.01, 20, False)], ['cell_vision_nconsidered', 1, 1, (1, 100, False)]]"
11,#AF4EA9,6.25,"(275.88484257705403, 237.57966509068046)",30.0,-2.053426104143057,0.06666667006127867,0.2821067683691342,3.938848050730784,1.4735074200868474,0.6012618573700965,1.7388164038055005,1.397936412788957,2.03676720614822e-07,"[['cell_mutational_rate', 0.5505324175057739, 1, (1e-10, 1, False)], ['cell_direction_pause', 0.9188241842172719, 1, (0, 1, False)], ['cell_direction_angle', 0.6844274950399447, 1, None], ['cell_cycle', 1, 1, (0.5000000001, 5, False)], ['cell_direction_remember', 1, 1, (0, 1, False)], ['cell_vision_scale', 1, 1, (1.01, 20, False)], ['cell_vision_nconsidered', 1, 1, (1, 100, False)]]"
12,#AF4EA9,6.25,"(339.24499940493257, 426.54861841674193)",29.0,-2.075694556118707,0.0644629649934041,0.17411291963245268,4.037041285921771,1.4933326101689517,0.3896712344486737,2.4663681077368036,2.1904893645127124,1.218264682461747e-07,"[['cell_mutational_rate', 0.7461490949103414, 1, (1e-10, 1, False)], ['cell_direction_pause', 1, 1, (0, 1, False)], ['cell_direction_angle', 1, 1, None], ['cell_cycle', 1, 1, (0.5000000001, 5, False)], ['cell_direction_remember', 1, 1, (0, 1, False)], ['cell_vision_scale', 1, 1, (1.01, 20, False)], ['cell_vision_nconsidered', 1, 1, (1, 100, False)]]"
13,#AF4EA9,6.25,"(310.70379904705885, 158.19639435107868)",28.058074074141693,-0.34480516526312843,0.06242111053425943,0.4751575341533061,5.4805864018318395,0.8155500351726621,0.7811270899531573,2.446697311694942,2.045122483083797,4.057205479720219e-09,"[['cell_mutational_rate', 1, 1, (1e-10, 1, False)], ['cell_direction_pause', 1, 1, (0, 1, False)], ['cell_direction_angle', 1, 1, None], ['cell_cycle', 1, 1, (0.5000000001, 5, False)], ['cell_direction_remember', 1, 1, (0, 1, False)], ['cell_vision_scale', 1, 1, (1.01, 20, False)], ['cell_vision_nconsidered', 1, 1, (1, 100, False)]]"
14,#AF4EA9,6.25,"(164.98534065238232, 245.3333358074434)",28.022685185237084,0.5471278740389998,0.029011703683474055,0.2821067683691342,3.938848050730784,1.4735074200868474,0.6012618573700965,1.7388164038055005,1.397936412788957,3.1138529782704476e-09,"[['cell_mutational_rate', 0.5505324175057739, 1, (1e-10, 1, False)], ['cell_direction_pause', 0.9188241842172719, 1, (0, 1, False)], ['cell_direction_angle', 0.6844274950399447, 1, None], ['cell_cycle', 1, 1, (0.5000000001, 5, False)], ['cell_direction_remember', 1, 1, (0, 1, False)], ['cell_vision_scale', 1, 1, (1.01, 20, False)], ['cell_vision_nconsidered', 1, 1, (1, 100, False)]]"
15,#AF4EA9,6.25,"(217.362466766854, 141.23942286528967)",28.01779629630439,0.7343629324781616,0.029001197916970357,0.0,3.67815452870173,0.5000000001,0.0,4.918366534465701,1.5218283669705899,4.854754504420321e-10,"[['cell_mutational_rate', 1, 1, (1e-10, 1, False)], ['cell_direction_pause', 1, 1, (0, 1, False)], ['cell_direction_angle', 1, 1, None], ['cell_cycle', 1, 1, (0.5000000001, 5, False)], ['cell_direction_remember', 1, 1, (0, 1, False)], ['cell_vision_scale', 1, 1, (1.01, 20, False)], ['cell_vision_nconsidered', 1, 1, (1, 100, False)]]"
16,#AF4EA9,6.25,"(295.10565387748903, 140.57893157729532)",27.03266325074165,0.8659214195265568,0.026902308870866243,0.4751575341533061,5.4805864018318395,0.8155500351726621,0.7811270899531573,2.446697311694942,2.045122483083797,1.7269783318429673e-09,"[['cell_mutational_rate', 1, 1, (1e-10, 1, False)], ['cell_direction_pause', 1, 1, (0, 1, False)], ['cell_direction_angle', 1, 1, None], ['cell_cycle', 1, 1, (0.5000000001, 5, False)], ['cell_direction_remember', 1, 1, (0, 1, False)], ['cell_vision_scale', 1, 1, (1.01, 20, False)], ['cell_vision_nconsidered', 1, 1, (1, 100, False)]]"
17,#2AD018,6.25,"(338.86680755563594, 462.28770748155773)",28.02535669018116,0.5261279623288293,0.02902228312602377,0.3037193281306435,5.058900790366856,1.3668095170617662,0.7375407252893685,2.200548340907597,1.1194899476555782,0.00029029975836832077,"[['cell_mutational_rate', 0.37160544407617035, 1, (1e-10, 1, False)], ['cell_direction_pause', 0.3382653416299577, 1, (0, 1, False)], ['cell_direction_angle', 0.33976506773742815, 1, None], ['cell_cycle', 0.25324348255025997, 1, (0.5000000001, 5, False)], ['cell_direction_remember', 0.2592273023291925, 1, (0, 1, False)], ['cell_vision_scale', 0.24818148081275493, 1, (1.01, 20, False)], ['cell_vision_nconsidered', 0.4165535185139317, 1, (1, 100, False)]]"
18,#AF4EA9,6.25,"(403.5352860370795, 290.95897622809537)",29.0,-1.6224537038745037,0.06446296296723297,0.4751575341533061,5.4805864018318395,0.8155500351726621,0.7811270899531573,2.446697311694942,2.045122483083797,2.5619999301464347e-10,"[['cell_mutational_rate', 1, 1, (1e-10, 1, False)], ['cell_direction_pause', 1, 1, (0, 1, False)], ['cell_direction_angle', 1, 1, None], ['cell_cycle', 1, 1, (0.5000000001, 5, False)], ['cell_direction_remember', 1, 1, (0, 1, False)], ['cell_vision_scale', 1, 1, (1.01, 20, False)], ['cell_vision_nconsidered', 1, 1, (1, 100, False)]]"
19,#AF4EA9,6.25,"(415.9496835383703, 425.4128376268957)",28.0,-1.803009601632818,0.06229630314376747,0.17411291963245268,4.037041285921771,1.4933326101689517,0.3896712344486737,2.4663681077368036,2.1904893645127124,4.10848270036696e-07,"[['cell_mutational_rate', 0.7461490949103414, 1, (1e-10, 1, False)], ['cell_direction_pause', 1, 1, (0, 1, False)], ['cell_direction_angle', 1, 1, None], ['cell_cycle', 1, 1, (0.5000000001, 5, False)], ['cell_direction_remember', 1, 1, (0, 1, False)], ['cell_vision_scale', 1, 1, (1.01, 20, False)], ['cell_vision_nconsidered', 1, 1, (1, 100, False)]]"
20,#AF4EA9,6.25,"(326.2757451974154, 412.3108044581962)",28.0,-1.995741125910964,0.06229630363287197,0.17411291963245268,4.037041285921771,1.4933326101689517,0.3896712344486737,2.4663681077368036,2.1904893645127124,4.401945405739066e-07,"[['cell_mutational_rate', 0.7461490949103414, 1, (1e-10, 1, False)], ['cell_direction_pause', 1, 1, (0, 1, False)], ['cell_direction_angle', 1, 1, None], ['cell_cycle', 1, 1, (0.5000000001, 5, False)], ['cell_direction_remember', 1, 1, (0, 1, False)], ['cell_vision_scale', 1, 1, (1.01, 20, False)], ['cell_vision_nconsidered', 1, 1, (1, 100, False)]]"
21,#AF4EA9,6.25,"(213.9705934527958, 136.25220739463327)",25.110289313319594,0.9396751362936839,0.022910073873754537,0.0,3.67815452870173,0.5000000001,0.0,4.918366534465701,1.5218283669705899,1.094397190008841e-09,"[['cell_mutational_rate', 1, 1, (1e-10, 1, False)], ['cell_direction_pause', 1, 1, (0, 1, False)], ['cell_direction_angle', 1, 1, None], ['cell_cycle', 1, 1, (0.5000000001, 5, False)], ['cell_direction_remember', 1, 1, (0, 1, False)], ['cell_vision_scale', 1, 1, (1.01, 20, False)], ['cell_vision_nconsidered', 1, 1, (1, 100, False)]]"
22,#AF4EA9,6.25,"(428.27675091960674, 360.2831607227516)",28.0,-2.300185228145618,0.06229629698366321,0.17411291963245268,4.037041285921771,1.4933326101689517,0.3896712344486737,2.4663681077368036,2.1904893645127124,4.1242014818097135e-08,"[['cell_mutational_rate', 0.7461490949103414, 1, (1e-10, 1, False)], ['cell_direction_pause', 1, 1, (0, 1, False)], ['cell_direction_angle', 1, 1, None], ['cell_cycle', 1, 1, (0.5000000001, 5, False)], ['cell_direction_remember', 1, 1, (0, 1, False)], ['cell_vision_scale', 1, 1, (1.01, 20, False)], ['cell_vision_nconsidered', 1, 1, (1, 100, False)]]"
23,#AF4EA9,6.25,"(448.6441627556025, 353.8431454816896)",28.0,-1.4031944772567357,0.062296297068350215,0.17411291963245268,4.037041285921771,1.4933326101689517,0.3896712344486737,2.4663681077368036,2.1904893645127124,4.632323489997056e-08,"[['cell_mutational_rate', 0.7461490949103414, 1, (1e-10, 1, False)], ['cell_direction_pause', 1, 1, (0, 1, False)], ['cell_direction_angle', 1, 1, None], ['cell_cycle', 1, 1, (0.5000000001, 5, False)], ['cell_direction_remember', 1, 1, (0, 1, False)], ['cell_vision_scale', 1, 1, (1.01, 20, False)], ['cell_vision_nconsidered', 1, 1, (1, 100, False)]]"
24,#AF4EA9,6.25,"(334.9059843750716, 154.0074011407276)",27.034240740750477,0.32659684020311847,0.026905641062955784,0.4751575341533061,5.4805864018318395,0.8155500351726621,0.7811270899531573,2.446697311694942,2.045122483083797,5.84145220216439e-10,"[['cell_mutational_rate', 1, 1, (1e-10, 1, False)], ['cell_direction_pause', 1, 1, (0, 1, False)], ['cell_direction_angle', 1, 1, None], ['cell_cycle', 1, 1, (0.5000000001, 5, False)], ['cell_direction_remember', 1, 1, (0, 1, False)], ['cell_vision_scale', 1, 1, (1.01, 20, False)], ['cell_vision_nconsidered', 1, 1, (1, 100, False)]]"
25,#AF4EA9,6.25,"(217.86623809142182, 142.09666005564227)",27.0,-2.387083335869887,0.06016666670424523,0.0,3.67815452870173,0.5000000001,0.0,4.918366534465701,1.5218283669705899,2.2547142773369437e-09,"[['cell_mutational_rate', 1, 1, (1e-10, 1, False)], ['cell_direction_pause', 1, 1, (0, 1, False)], ['cell_direction_angle', 1, 1, None], ['cell_cycle', 1, 1, (0.5000000001, 5, False)], ['cell_direction_remember', 1, 1, (0, 1, False)], ['cell_vision_scale', 1, 1, (1.01, 20, False)], ['cell_vision_nconsidered', 1, 1, (1, 100, False)]]"
26,#AF4EA9,6.25,"(272.8852468632052, 140.31464412971502)",25.10413919762295,0.64493992536665,0.02289752144601268,0.4751575341533061,5.4805864018318395,0.8155500351726621,0.7811270899531573,2.446697311694942,2.045122483083797,1.526309670169899e-09,"[['cell_mutational_rate', 1, 1, (1e-10, 1, False)], ['cell_direction_pause', 1, 1, (0, 1, False)], ['cell_direction_angle', 1, 1, None], ['cell_cycle', 1, 1, (0.5000000001, 5, False)], ['cell_direction_remember', 1, 1, (0, 1, False)], ['cell_vision_scale', 1, 1, (1.01, 20, False)], ['cell_vision_nconsidered', 1, 1, (1, 100, False)]]"
27,#AF4EA9,6.25,"(270.1624387213994, 229.13676482013423)",27.0,-1.9741670514993244,0.06016667366362408,0.2821067683691342,3.938848050730784,1.4735074200868474,0.6012618573700965,1.7388164038055005,1.397936412788957,4.198174448959841e-07,"[['cell_mutational_rate', 0.5505324175057739, 1, (1e-10, 1, False)], ['cell_direction_pause', 0.9188241842172719, 1, (0, 1, False)], ['cell_direction_angle', 0.6844274950399447, 1, None], ['cell_cycle', 1, 1, (0.5000000001, 5, False)], ['cell_direction_remember', 1, 1, (0, 1, False)], ['cell_vision_scale', 1, 1, (1.01, 20, False)], ['cell_vision_nconsidered', 1, 1, (1, 100, False)]]"
28,#AF4EA9,6.25,"(396.99660137673874, 246.08258139006173)",27.0,-1.8116667500168586,0.060166668254289374,0.17411291963245268,4.037041285921771,1.4933326101689517,0.3896712344486737,2.4663681077368036,2.1904893645127124,9.525736186074696e-08,"[['cell_mutational_rate', 0.7461490949103414, 1, (1e-10, 1, False)], ['cell_direction_pause', 1, 1, (0, 1, False)], ['cell_direction_angle', 1, 1, None], ['cell_cycle', 1, 1, (0.5000000001, 5, False)], ['cell_direction_remember', 1, 1, (0, 1, False)], ['cell_vision_scale', 1, 1, (1.01, 20, False)], ['cell_vision_nconsidered', 1, 1, (1, 100, False)]]"
29,#2AD018,6.25,"(346.59878911697655, 395.2387043711759)",27.0,-1.473493332131619,0.06017529626625343,0.3037193281306435,5.058900790366856,1.3668095170617662,0.7375407252893685,2.200548340907597,1.1194899476555782,0.0005177759752063654,"[['cell_mutational_rate', 0.37160544407617035, 1, (1e-10, 1, False)], ['cell_direction_pause', 0.3382653416299577, 1, (0, 1, False)], ['cell_direction_angle', 0.33976506773742815, 1, None], ['cell_cycle', 0.25324348255025997, 1, (0.5000000001, 5, False)], ['cell_direction_remember', 0.2592273023291925, 1, (0, 1, False)], ['cell_vision_scale', 0.24818148081275493, 1, (1.01, 20, False)], ['cell_vision_nconsidered', 0.4165535185139317, 1, (1, 100, False)]]"
30,#2AD018,6.25,"(206.02199796617055, 343.9449233857658)",26.04090741059381,-0.5064467783088215,0.05815895324941653,0.3037193281306435,5.058900790366856,1.3668095170617662,0.7375407252893685,2.200548340907597,1.1194899476555782,1.9118416038969018e-07,"[['cell_mutational_rate', 0.37160544407617035, 1, (1e-10, 1, False)], ['cell_direction_pause', 0.3382653416299577, 1, (0, 1, False)], ['cell_direction_angle', 0.33976506773742815, 1, None], ['cell_cycle', 0.25324348255025997, 1, (0.5000000001, 5, False)], ['cell_direction_remember', 0.2592273023291925, 1, (0, 1, False)], ['cell_vision_scale', 0.24818148081275493, 1, (1.01, 20, False)], ['cell_vision_nconsidered', 0.4165535185139317, 1, (1, 100, False)]]"
31,#2AD018,6.25,"(310.5198633453941, 460.3411350785768)",27.0,-1.3837728878228408,0.06016829452829342,0.3037193281306435,5.058900790366856,1.3668095170617662,0.7375407252893685,2.200548340907597,1.1194899476555782,9.767169760532917e-05,"[['cell_mutational_rate', 0.37160544407617035, 1, (1e-10, 1, False)], ['cell_direction_pause', 0.3382653416299577, 1, (0, 1, False)], ['cell_direction_angle', 0.33976506773742815, 1, None], ['cell_cycle', 0.25324348255025997, 1, (0.5000000001, 5, False)], ['cell_direction_remember', 0.2592273023291925, 1, (0, 1, False)], ['cell_vision_scale', 0.24818148081275493, 1, (1.01, 20, False)], ['cell_vision_nconsidered', 0.4165535185139317, 1, (1, 100, False)]]"
