,color,radius,center,age,health,metabolic_cost,direction_pause,cycle,repulsion_weight,attraction_weight,vision_scale,vision_nconsidered,mutational_rate,mutation_information
0,#CC9DBB,6.25,[188.25762453  80.65148818],22.0,-2.112192617416362,0.06263016880150961,0.0729254606074766,1.0309130514306089,0.18047983647752347,0.06205622371143704,1.01,1.9629074655789267,0.22341012809057645,"[['mutational_rate', 0.26495966313693187, 1, (1e-10, 1, False)], ['direction_pause', 0.24578053987254694, 1, (0, 1, False)], ['cycle', 0.18956779646976496, 1, (0.5000000001, 5, False)], ['repulsion_weight', 0.2517763947963427, 1, (-1, 1, False)], ['attraction_weight', 0.2082541835593257, 1, (-1, 1, False)], ['vision_scale', 0.31420134231908553, 1, (1.01, 20, False)], ['vision_nconsidered', 0.30867767574195165, 1, (1, 100, False)]]"
1,#8BF9A2,6.25,[233.59774804 356.18473788],22.0,-1.9225379223543344,0.06249609178042001,0.1354168631849157,1.0226310519684787,0.45667861999652,0.7802641807853301,2.8364135987752164,1.7749814994318145,0.21536550682520067,"[['mutational_rate', 0.2875659039124797, 1, (1e-10, 1, False)], ['direction_pause', 0.2880824764465326, 1, (0, 1, False)], ['cycle', 0.20596723478032536, 1, (0.5000000001, 5, False)], ['repulsion_weight', 0.24064814564678558, 1, (-1, 1, False)], ['attraction_weight', 0.33239843592658996, 1, (-1, 1, False)], ['vision_scale', 0.21815446975827438, 1, (1.01, 20, False)], ['vision_nconsidered', 0.2332864281812718, 1, (1, 100, False)]]"
2,#A27292,6.25,[195.48505708 334.63890318],22.0,-1.944802018179336,0.06311337369692004,0.11942648328784884,1.1599414659506555,0.28217879914661576,0.778030876848462,1.01,2.429827580185744,0.25240242181520267,"[['mutational_rate', 0.2703579697003218, 1, (1e-10, 1, False)], ['direction_pause', 0.2570534650691801, 1, (0, 1, False)], ['cycle', 0.2459729132325592, 1, (0.5000000001, 5, False)], ['repulsion_weight', 0.15939210419622674, 1, (-1, 1, False)], ['attraction_weight', 0.23554161149888592, 1, (-1, 1, False)], ['vision_scale', 0.2283922266085882, 1, (1.01, 20, False)], ['vision_nconsidered', 0.262044595023825, 1, (1, 100, False)]]"
3,#08D63B,6.25,[280.42105767 315.88356813],22.0,-1.9699949317556138,0.06396480558081993,0.11473144501529864,0.9933903085615587,1.0,0.10903021047652733,1.01,3.441611532423639,0.30348833484919635,"[['mutational_rate', 0.28590229899015834, 1, (1e-10, 1, False)], ['direction_pause', 0.3318242548779624, 1, (0, 1, False)], ['cycle', 0.28918098015096994, 1, (0.5000000001, 5, False)], ['repulsion_weight', 0.14755923210870703, 1, (-1, 1, False)], ['attraction_weight', 0.18835907900412815, 1, (-1, 1, False)], ['vision_scale', 0.18692918793298213, 1, (1.01, 20, False)], ['vision_nconsidered', 0.21804208145714138, 1, (1, 100, False)]]"
4,#AD4D40,6.25,[171.01235853  13.63769989],22.0,-1.9454179436145784,0.0630336922056249,0.09380760206434943,1.0336057113600214,0.4998794430266147,0.7076159167290671,1.5746896789298235,2.250232180209517,0.24762153233749395,"[['mutational_rate', 0.2611010610971244, 1, (1e-10, 1, False)], ['direction_pause', 0.2878290449679221, 1, (0, 1, False)], ['cycle', 0.24362335183691758, 1, (0.5000000001, 5, False)], ['repulsion_weight', 0.20366098150071282, 1, (-1, 1, False)], ['attraction_weight', 0.24991919932464834, 1, (-1, 1, False)], ['vision_scale', 0.2781349129992482, 1, (1.01, 20, False)], ['vision_nconsidered', 0.17767023427593587, 1, (1, 100, False)]]"
5,#B35DAF,6.25,[429.28955928 323.30893467],22.0,-1.595750914507254,0.06270472740017068,0.08951490663768082,0.8861126488233066,0.18396093724185936,0.5637920816499808,1.3772944389434878,1.8549881287212684,0.2278836440102404,"[['mutational_rate', 0.2821451740604654, 1, (1e-10, 1, False)], ['direction_pause', 0.18860520033058342, 1, (0, 1, False)], ['cycle', 0.22962036502448058, 1, (0.5000000001, 5, False)], ['repulsion_weight', 0.22580704416879308, 1, (-1, 1, False)], ['attraction_weight', 0.26236410947696337, 1, (-1, 1, False)], ['vision_scale', 0.17098892588157744, 1, (1.01, 20, False)], ['vision_nconsidered', 0.25670660559666353, 1, (1, 100, False)]]"
6,#372C17,6.25,[ 56.55451641 475.66711323],22.0,-1.9229235977216912,0.06141580528776715,0.04812093892791867,0.9452891311342911,0.5994481603134664,0.2846119728436715,2.828008391120159,2.2164670790485754,0.15054831726602932,"[['mutational_rate', 0.2058255781556327, 1, (1e-10, 1, False)], ['direction_pause', 0.29551161708648965, 1, (0, 1, False)], ['cycle', 0.21077809307989953, 1, (0.5000000001, 5, False)], ['repulsion_weight', 0.18416091240114923, 1, (-1, 1, False)], ['attraction_weight', 0.2838658754587746, 1, (-1, 1, False)], ['vision_scale', 0.27798542666211445, 1, (1.01, 20, False)], ['vision_nconsidered', 0.252967742071806, 1, (1, 100, False)]]"
7,#791686,6.25,[74.28799985 66.11447935],21.059216905936676,-1.0136844046488498,0.059362278256358425,0.10487443690605669,0.9704732631713788,0.7136671150233784,0.33375291643145694,1.6263343643223473,2.041202631826546,0.16741435620050943,"[['mutational_rate', 0.25147945807315675, 1, (1e-10, 1, False)], ['direction_pause', 0.17435351889332412, 1, (0, 1, False)], ['cycle', 0.2514016066367325, 1, (0.5000000001, 5, False)], ['repulsion_weight', 0.2403862787791737, 1, (-1, 1, False)], ['attraction_weight', 0.2557418381389536, 1, (-1, 1, False)], ['vision_scale', 0.2171914940953259, 1, (1.01, 20, False)], ['vision_nconsidered', 0.2768771723165103, 1, (1, 100, False)]]"
8,#C0D9C5,6.25,[468.53795598 300.23740666],22.0,-1.9157132666338494,0.0613050146025495,0.07725321193630844,0.9678027852113438,0.7466061652399769,0.34484112180900106,3.042636226113585,1.0037097231404193,0.14390087615297031,"[['mutational_rate', 0.23829633106634707, 1, (1e-10, 1, False)], ['direction_pause', 0.3042668298452952, 1, (0, 1, False)], ['cycle', 0.26193977471109475, 1, (0.5000000001, 5, False)], ['repulsion_weight', 0.2731173454717444, 1, (-1, 1, False)], ['attraction_weight', 0.24858354140368863, 1, (-1, 1, False)], ['vision_scale', 0.25956407789358815, 1, (1.01, 20, False)], ['vision_nconsidered', 0.24736319320771785, 1, (1, 100, False)]]"
9,#876889,6.25,[266.30151477 117.71677887],19.0693550210576,-0.2642376399074162,0.07748620378189841,0.14648398889198977,1.000909175395908,0.6513826945232178,0.3406746098387867,2.38428660007079,1.8186267835433083,1.5417993437586814,"[['mutational_rate', 0.23341545985697068, 1, (1e-10, 1, False)], ['direction_pause', 0.3429554666073037, 1, (0, 1, False)], ['cycle', 0.24057540922737639, 1, (0.5000000001, 5, False)], ['repulsion_weight', 0.3038561205238248, 1, (-1, 1, False)], ['attraction_weight', 0.2479925938736801, 1, (-1, 1, False)], ['vision_scale', 0.20713323628455227, 1, (1.01, 20, False)], ['vision_nconsidered', 0.25159742857861966, 1, (1, 100, False)]]"
